query,label,optimization_success,ues_bounds,ues_final_bound,optimization_time,ues_join_path
SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND (mc.note LIKE '%(co-production)%' OR mc.note LIKE '%(presents)%') JOIN title AS t ON t.id = mc.movie_id JOIN movie_info_idx AS mi_idx ON t.id = mi_idx.movie_id AND mc.movie_id = mi_idx.movie_id JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'top 250 rank',1a,True,"[{""join"": [""movie_companies AS mc""], ""join_bound"": 58310, ""intermediate_bound"": 0, ""candidate_table"": ""movie_companies AS mc"", ""candidate_bound"": 58310, ""index_available"": false}, {""join"": [""movie_companies AS mc"", ""company_type AS ct""], ""join_bound"": 58310, ""intermediate_bound"": 58310, ""candidate_table"": ""company_type AS ct"", ""candidate_bound"": 1, ""index_available"": true}, {""join"": [""movie_companies AS mc"", ""company_type AS ct"", ""title AS t""], ""join_bound"": 58310, ""intermediate_bound"": 58310, ""candidate_table"": ""title AS t"", ""candidate_bound"": 4736114, ""index_available"": true}, {""join"": [""movie_companies AS mc"", ""company_type AS ct"", ""title AS t"", ""movie_info_idx AS mi_idx""], ""join_bound"": 233240, ""intermediate_bound"": 58310, ""candidate_table"": ""movie_info_idx AS mi_idx"", ""candidate_bound"": 2367725, ""index_available"": false}, {""join"": [""movie_companies AS mc"", ""company_type AS ct"", ""title AS t"", ""movie_info_idx AS mi_idx"", ""info_type AS it""], ""join_bound"": 789155, ""intermediate_bound"": 233240, ""candidate_table"": ""info_type AS it"", ""candidate_bound"": 1, ""index_available"": true}]",233240,0.020855,mc ct t mi_idx it
SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'bottom 10 rank' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year BETWEEN 2005 AND 2010 JOIN movie_companies AS mc ON t.id = mc.movie_id AND mc.movie_id = mi_idx.movie_id AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies',1b,True,"[{""join"": [""movie_info_idx AS mi_idx""], ""join_bound"": 789155, ""intermediate_bound"": 0, ""candidate_table"": ""movie_info_idx AS mi_idx"", ""candidate_bound"": 789155, ""index_available"": false}, {""join"": [""movie_info_idx AS mi_idx"", ""info_type AS it""], ""join_bound"": 789155, ""intermediate_bound"": 789155, ""candidate_table"": ""info_type AS it"", ""candidate_bound"": 1, ""index_available"": true}, {""join"": [""movie_info_idx AS mi_idx"", ""info_type AS it"", ""title AS t""], ""join_bound"": 789155, ""intermediate_bound"": 789155, ""candidate_table"": ""title AS t"", ""candidate_bound"": 905765, ""index_available"": true}, {""join"": [""movie_info_idx AS mi_idx"", ""info_type AS it"", ""title AS t"", ""movie_companies AS mc""], ""join_bound"": 9154304, ""intermediate_bound"": 789155, ""candidate_table"": ""movie_companies AS mc"", ""candidate_bound"": 2288576, ""index_available"": false}, {""join"": [""movie_info_idx AS mi_idx"", ""info_type AS it"", ""title AS t"", ""movie_companies AS mc"", ""company_type AS ct""], ""join_bound"": 2288576, ""intermediate_bound"": 9154304, ""candidate_table"": ""company_type AS ct"", ""candidate_bound"": 1, ""index_available"": true}]",9154304,0.013407,mi_idx it t mc ct
SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND mc.note LIKE '%(co-production)%' JOIN title AS t ON t.id = mc.movie_id AND t.production_year > 2010 JOIN movie_info_idx AS mi_idx ON t.id = mi_idx.movie_id AND mc.movie_id = mi_idx.movie_id JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'top 250 rank',1c,True,"[{""join"": [""movie_companies AS mc""], ""join_bound"": 37545, ""intermediate_bound"": 0, ""candidate_table"": ""movie_companies AS mc"", ""candidate_bound"": 37545, ""index_available"": false}, {""join"": [""movie_companies AS mc"", ""company_type AS ct""], ""join_bound"": 37545, ""intermediate_bound"": 37545, ""candidate_table"": ""company_type AS ct"", ""candidate_bound"": 1, ""index_available"": true}, {""join"": [""movie_companies AS mc"", ""company_type AS ct"", ""title AS t""], ""join_bound"": 37545, ""intermediate_bound"": 37545, ""candidate_table"": ""title AS t"", ""candidate_bound"": 1752517, ""index_available"": true}, {""join"": [""movie_companies AS mc"", ""company_type AS ct"", ""title AS t"", ""movie_info_idx AS mi_idx""], ""join_bound"": 150180, ""intermediate_bound"": 37545, ""candidate_table"": ""movie_info_idx AS mi_idx"", ""candidate_bound"": 2367725, ""index_available"": false}, {""join"": [""movie_companies AS mc"", ""company_type AS ct"", ""title AS t"", ""movie_info_idx AS mi_idx"", ""info_type AS it""], ""join_bound"": 789155, ""intermediate_bound"": 150180, ""candidate_table"": ""info_type AS it"", ""candidate_bound"": 1, ""index_available"": true}]",150180,0.01328,mc ct t mi_idx it
SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'bottom 10 rank' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year > 2000 JOIN movie_companies AS mc ON t.id = mc.movie_id AND mc.movie_id = mi_idx.movie_id AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies',1d,True,"[{""join"": [""movie_info_idx AS mi_idx""], ""join_bound"": 789155, ""intermediate_bound"": 0, ""candidate_table"": ""movie_info_idx AS mi_idx"", ""candidate_bound"": 789155, ""index_available"": false}, {""join"": [""movie_info_idx AS mi_idx"", ""info_type AS it""], ""join_bound"": 789155, ""intermediate_bound"": 789155, ""candidate_table"": ""info_type AS it"", ""candidate_bound"": 1, ""index_available"": true}, {""join"": [""movie_info_idx AS mi_idx"", ""info_type AS it"", ""title AS t""], ""join_bound"": 789155, ""intermediate_bound"": 789155, ""candidate_table"": ""title AS t"", ""candidate_bound"": 3010460, ""index_available"": true}, {""join"": [""movie_info_idx AS mi_idx"", ""info_type AS it"", ""title AS t"", ""movie_companies AS mc""], ""join_bound"": 9154304, ""intermediate_bound"": 789155, ""candidate_table"": ""movie_companies AS mc"", ""candidate_bound"": 2288576, ""index_available"": false}, {""join"": [""movie_info_idx AS mi_idx"", ""info_type AS it"", ""title AS t"", ""movie_companies AS mc"", ""company_type AS ct""], ""join_bound"": 2288576, ""intermediate_bound"": 9154304, ""candidate_table"": ""company_type AS ct"", ""candidate_bound"": 1, ""index_available"": true}]",9154304,0.012059,mi_idx it t mc ct
SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON mk.keyword_id = k.id AND k.keyword = 'character-name-in-title' JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = t.id AND mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[de]',2a,True,"[{""join"": [""movie_keyword AS mk""], ""join_bound"": 88282, ""intermediate_bound"": 0, ""candidate_table"": ""movie_keyword AS mk"", ""candidate_bound"": 88282, ""index_available"": false}, {""join"": [""movie_keyword AS mk"", ""keyword AS k""], ""join_bound"": 88282, ""intermediate_bound"": 88282, ""candidate_table"": ""keyword AS k"", ""candidate_bound"": 1, ""index_available"": true}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t""], ""join_bound"": 88282, ""intermediate_bound"": 88282, ""candidate_table"": ""title AS t"", ""candidate_bound"": 4736114, ""index_available"": true}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t"", ""movie_companies AS mc""], ""join_bound"": 11318192, ""intermediate_bound"": 88282, ""candidate_table"": ""movie_companies AS mc"", ""candidate_bound"": 4958296, ""index_available"": false}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t"", ""movie_companies AS mc"", ""company_name AS cn""], ""join_bound"": 4958296, ""intermediate_bound"": 11318192, ""candidate_table"": ""company_name AS cn"", ""candidate_bound"": 13059, ""index_available"": true}]",11318192,0.016565,mk k t mc cn
SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON mk.keyword_id = k.id AND k.keyword = 'character-name-in-title' JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = t.id AND mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[nl]',2b,True,"[{""join"": [""movie_keyword AS mk""], ""join_bound"": 88282, ""intermediate_bound"": 0, ""candidate_table"": ""movie_keyword AS mk"", ""candidate_bound"": 88282, ""index_available"": false}, {""join"": [""movie_keyword AS mk"", ""keyword AS k""], ""join_bound"": 88282, ""intermediate_bound"": 88282, ""candidate_table"": ""keyword AS k"", ""candidate_bound"": 1, ""index_available"": true}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t""], ""join_bound"": 88282, ""intermediate_bound"": 88282, ""candidate_table"": ""title AS t"", ""candidate_bound"": 4736114, ""index_available"": true}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t"", ""movie_companies AS mc""], ""join_bound"": 11318192, ""intermediate_bound"": 88282, ""candidate_table"": ""movie_companies AS mc"", ""candidate_bound"": 4958296, ""index_available"": false}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t"", ""movie_companies AS mc"", ""company_name AS cn""], ""join_bound"": 4958296, ""intermediate_bound"": 11318192, ""candidate_table"": ""company_name AS cn"", ""candidate_bound"": 3891, ""index_available"": true}]",11318192,0.015752,mk k t mc cn
SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON mk.keyword_id = k.id AND k.keyword = 'character-name-in-title' JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = t.id AND mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[sm]',2c,True,"[{""join"": [""movie_keyword AS mk""], ""join_bound"": 88282, ""intermediate_bound"": 0, ""candidate_table"": ""movie_keyword AS mk"", ""candidate_bound"": 88282, ""index_available"": false}, {""join"": [""movie_keyword AS mk"", ""keyword AS k""], ""join_bound"": 88282, ""intermediate_bound"": 88282, ""candidate_table"": ""keyword AS k"", ""candidate_bound"": 1, ""index_available"": true}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t""], ""join_bound"": 88282, ""intermediate_bound"": 88282, ""candidate_table"": ""title AS t"", ""candidate_bound"": 4736114, ""index_available"": true}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t"", ""movie_companies AS mc""], ""join_bound"": 11318192, ""intermediate_bound"": 88282, ""candidate_table"": ""movie_companies AS mc"", ""candidate_bound"": 4958296, ""index_available"": false}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t"", ""movie_companies AS mc"", ""company_name AS cn""], ""join_bound"": 138591, ""intermediate_bound"": 11318192, ""candidate_table"": ""company_name AS cn"", ""candidate_bound"": 2, ""index_available"": true}]",11318192,0.011094,mk k t mc cn
SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON mk.keyword_id = k.id AND k.keyword = 'character-name-in-title' JOIN title AS t ON t.id = mk.movie_id JOIN movie_companies AS mc ON mc.movie_id = t.id AND mc.movie_id = mk.movie_id JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[us]',2d,True,"[{""join"": [""movie_keyword AS mk""], ""join_bound"": 88282, ""intermediate_bound"": 0, ""candidate_table"": ""movie_keyword AS mk"", ""candidate_bound"": 88282, ""index_available"": false}, {""join"": [""movie_keyword AS mk"", ""keyword AS k""], ""join_bound"": 88282, ""intermediate_bound"": 88282, ""candidate_table"": ""keyword AS k"", ""candidate_bound"": 1, ""index_available"": true}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t""], ""join_bound"": 88282, ""intermediate_bound"": 88282, ""candidate_table"": ""title AS t"", ""candidate_bound"": 4736114, ""index_available"": true}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t"", ""movie_companies AS mc""], ""join_bound"": 11318192, ""intermediate_bound"": 88282, ""candidate_table"": ""movie_companies AS mc"", ""candidate_bound"": 4958296, ""index_available"": false}, {""join"": [""movie_keyword AS mk"", ""keyword AS k"", ""title AS t"", ""movie_companies AS mc"", ""company_name AS cn""], ""join_bound"": 4958296, ""intermediate_bound"": 11318192, ""candidate_table"": ""company_name AS cn"", ""candidate_bound"": 138946, ""index_available"": true}]",11318192,0.015707,mk k t mc cn
"SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.id = mi.movie_id AND t.production_year > 2005 AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German') JOIN movie_keyword AS mk ON t.id = mk.movie_id AND mk.movie_id = mi.movie_id JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%'",3a,True,"[{""join"": [""movie_info AS mi""], ""join_bound"": 231490, ""intermediate_bound"": 0, ""candidate_table"": ""movie_info AS mi"", ""candidate_bound"": 231490, ""index_available"": false}, {""join"": [""movie_info AS mi"", ""title AS t""], ""join_bound"": 231490, ""intermediate_bound"": 231490, ""candidate_table"": ""title AS t"", ""candidate_bound"": 2539122, ""index_available"": true}, {""join"": [""movie_info AS mi"", ""title AS t"", ""movie_keyword AS mk""], ""join_bound"": 175162660, ""intermediate_bound"": 231490, ""candidate_table"": ""movie_keyword AS mk"", ""candidate_bound"": 7480087, ""index_available"": false}, {""join"": [""movie_info AS mi"", ""title AS t"", ""movie_keyword AS mk"", ""keyword AS k""], ""join_bound"": 1869632, ""intermediate_bound"": 175162660, ""candidate_table"": ""keyword AS k"", ""candidate_bound"": 41, ""index_available"": true}]",175162660,0.016039,mi t mk k
SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.id = mi.movie_id AND t.production_year > 2010 AND mi.info IN ('Bulgaria') JOIN movie_keyword AS mk ON t.id = mk.movie_id AND mk.movie_id = mi.movie_id JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%',3b,True,"[{""join"": [""movie_info AS mi""], ""join_bound"": 3462, ""intermediate_bound"": 0, ""candidate_table"": ""movie_info AS mi"", ""candidate_bound"": 3462, ""index_available"": false}, {""join"": [""movie_info AS mi"", ""title AS t""], ""join_bound"": 3462, ""intermediate_bound"": 3462, ""candidate_table"": ""title AS t"", ""candidate_bound"": 1752517, ""index_available"": true}, {""join"": [""movie_info AS mi"", ""title AS t"", ""movie_keyword AS mk""], ""join_bound"": 3229548, ""intermediate_bound"": 3462, ""candidate_table"": ""movie_keyword AS mk"", ""candidate_bound"": 7480087, ""index_available"": false}, {""join"": [""movie_info AS mi"", ""title AS t"", ""movie_keyword AS mk"", ""keyword AS k""], ""join_bound"": 1869632, ""intermediate_bound"": 3229548, ""candidate_table"": ""keyword AS k"", ""candidate_bound"": 41, ""index_available"": true}]",3229548,0.012167,mi t mk k
